Diet;Habitat;Family;Latin Name;Phylum;Class;Order;Genus;Species;Common Name;Size;Average Lifespan;Endangered Status;Native Continent
Herbivore;Freshwater;Cichlidae;Maylandia zebra;Chordata;Actinopterygii;Perciformes;Maylandia;zebra;African Cichlid;15 cm;10 years;Least Concern;Africa
Carnivore;Freshwater;Alligatoridae;Alligator mississippiensis;Chordata;Reptilia;Alligatoridae;Alligator;mississippiensis;American Alligator;4 m;30-50 years;Vulnerable;North America
Omnivore;Terrestrial;Theridiidae;Latrodectus mactans;Arthropoda;Arachnida;Araneae;Latrodectus;mactans;Black Widow;1.5 cm;3 years;Least Concern;North America
Herbivore;Freshwater;Cichlidae;Mayaheros urophthalmus;Actinopterygii;Teleostei;Cichliformes;Cichlasoma;urophthalmus;Convict Cichlid;6 inches;8-10 years;Least Concern;Central America
Carnivore;Woodlands, Forests;Aves;Accipiter cooperii;Chordata;Aves;Accipitriformes;Accipiter;cooperii;Cooper's Hawk;16.15 in;12 years;Least Concern;North America
Carnivore;Ocean;Chondrichthyes;Squalus spp.;Chordata;Chondrichthyes;Squaliformes;Squalus;spp.;Dogfish Shark;Medium;10-15 years;Near Threatened;North America, Europe
Omnivore;Terrestrial;Canidae;Canis lupus familiaris;Chordata;Mammalia;Carnivora;Canis;lupus;Domestic Dog;60 cm;10-13 years;Least Concern;Worldwide
Detritivore;Soil;Annelida;Lumbricus terrestris;Ecdysozoa;Nematoda;Enoplea;Lumbricus;terrestris;Earthworm;Small;4-8 years;Least Concern;Worldwide
Carnivore;Freshwater and Marine Water;Actinopterygii;Anguilla anguilla;Chordata;Actinopterygii;Anguilliformes;Anguilla;anguilla;European Eel;Medium;15-20 years;Critically Endangered;Europe
Carnivore;Marine;Carcharodon carcharias;Chondrichthyes;Chondrichthyes;Selachii;Lamniformes;Carcharodon;carcharias;Great White Shark;600 cm;25-30 years;Vulnerable;Worldwide
Omnivore;Estuaries, Shallow Ocean Water;Arthropoda;Limulus polyphemus;Arthropoda;Merostomata;Xiphosura;Limulus;polyphemus;Horseshoe Crab;Medium;9-12 years;Vulnerable;North America
Carnivore;Ocean;Vertebrata;Elasmobranchii;Chordata;Vertebrata;Elasmobranchii;;;Sharks, Rays, Skates;Medium;Varies;Varies;Varies
Insectivore;Urban Areas, Forests;Mollusca;Mytilus edulis;Mollusca;Bivalvia;Mytilidae;edulis;Blue Mussel;Small;;-;-;-
Omnivore;Deciduous and Pine Forests, Urban Areas;Animalia;Didelphis virginiana;Chordata;Mammalia;Didelphimorphia;Didelphis;virginiana;Virginia Opossum;Medium;2 years;Least Concern;North America
Giant Panda;Mountains, Forests;Ursidae;Ailuropoda melanoleuca;Chordata;Mammalia;Ursidae.1;Ailuropoda;melanoleuca;Giant Panda.1;6 feet;20 years;Vulnerable;Asia
