Word;Definition;Synonyms;Origin
Chimera;Monstrous;Fabulous creature;Greek
Basilisk;King serpent;Cockatrice;Greek, Roman
Minotaur;Human-bull;Man bull, Asterius;Greek
Cyclops;One-eyed;Polyphemus;Greek
Unicorns;Horned horse;Monoceros, Narwhal;European
Pegasus;Winged horse;Kelpie;Greek
Centaur;Man-horse;Hippocentaurs;Greek
Gorgon;Women-monster;Euryale;Greek
Phoenix;Fire bird;Benu, Huma;Greek, Roman
Hydra;Snake-human;Antaeus;Lerna, a lake in the Argolid, Greece
Cerberus;Three-headed;Dog of Hades;Greek
Nymph;Nature spirit;Dryad, Oread;Greek, Roman
Mermaid, half-human, half-fish creature;Siren;Ariel, The Little Mermaid;Maritime folklore
Dragon, large, serpent-like creature;Drake, Wyrm;Serpent, Worm;Multiple origins
Griffin;A legendary creature with the body, tail, and back legs of a lion;Griffon, Gryphon, Griffinion;Greek mythology, Persian mythology, Medieval European folklore
Sphinx;A creature with the body of a lion and the head of a human;Androsphinx, Criosphinx;Egyptian mythology
Harpy;A birdlike creature with a human face and a woman's body;Harpies, Harpyia, Aello;Greek mythology
