Plant;Variety;Color;Fruit;Soil;Water;Temperature;Light;Pruning;Fertilizer;Pest;Taste;Days to Maturity;Nutrition Facts (per 100g)
Apple;Granny Smith;Green;Yes;Loamy;Slight;Mild;Bright;Limited;Compost;Aphids;Tart, Tangy;80-100 days;52 kcal, 14g carbs, 2.4g fiber, 10mg vit C
Asparagus;Jersey Knight;Chartreuse;Yes;Sandy;Average;Cold;High;Barely;Compost Tea;Snails;Grassy, Tender;80-100 days;20 kcal, 3.9g carbs, 2.1g fiber, 5.2mg vit C
Basil, Sweet;Summer;Herb;Leaves;Well-drained;Moist;70-80°F;Full Sun;Pinch back;Balanced Fertilizer;Aphids, Fusarium Wilt;Sweet, Peppery;30-40 days;2.6 kcal, 0.5g carbs, 0.3g fiber, 3.2mg vit K
Broccoli;Spring;Vegetable;Head;Loamy;Moderate;60-70°F;Full Sun;Do not cut florets;Nitrogen-rich Fertilizer;Cabbage Worms, Downy Mildew;Mild, Crisp;70-100 days;34 kcal, 6g carbs, 2.6g fiber, 89mg vit C
Cabbage;Fall;Vegetable;Head;Loamy;Moderate;60-70°F;Full Sun;Do not cut core;Nitrogen-rich Fertilizer;Imported Cabbageworm, Black Rot;Sweet, Crunchy;70-90 days;25 kcal, 5.8g carbs, 2.5g fiber, 74mg vit C
Cherry;Rainier;Red;Yes;Sandy;Heavy;Cool;Low;;Seaweed;Caterpillars;Sweet, Mild;60-80 days;50 kcal, 12g carbs, 1.6g fiber, 9mg vit C
Cucumber;Lemon;Yellow;No;Salty;Heavy;Hot;Moderate;Judiciously;BAT Guano;Aphids;Mild, Crisp;50-70 days;16 kcal, 3.6g carbs, 0.5g fiber, 11mg vit K
Eggplant;Neon;Purple;No;Loamy;Slight;Cold;High;Gently;Seaweed Extract;Cutworms;Mild, Smoky;60-80 days;25 kcal, 5.8g carbs, 3g fiber, 1.5mg vit K
Grape;Concord;Crimson;Yes;Peat;Heavy;Cold;High;Prudently;Steamed Bone;Leafhopper;Sweet, Tart;100-120 days;67 kcal, 18.1g carbs, 0.9g fiber, 1.8mg vit C, 10µg vit K
Lettuce;Romaine;Green;Leaf;Well-drained;Medium;45-75°F;Partial Shade;;Weekly;Aphids, Downy Mildew;Mild, Crisp;30-50 days;10 kcal, 2g carbs, 1.3g fiber, 1.3mg vit K
